title,description,length
Never Catch a Cold,"Head Colds. Neglected Colds. Why are there so many Colds? Renowned artist Andre Francois explains in his own delightfully comical way in Never Catch a Cold, narrating just why the Cold--in all its various forms--continues to flourish. He also introduces readers to a host of fantastical creatures outlived by the Cold. Fran&ccdeil;ois' tongue-in-cheek humor and inimitable black-ink drawings make this a Cold epidemic worth getting in on!",438
Richard Scarry's The Early Bird,"Early Bird looks and looks, but he can't seem to find a worm to play with. A jumping frog and a tiny field mouse try to help out, but there just aren't any worms to be found. Early Bird is about to give up when he meets a friendly fellow in a funny hat--it's Wiggly Worm! Long out of print, this Richard Scarry classic will delight a whole new audience of readers!",364
Dirty Little Devil,"It was suppose to be girls night out for Jenna and Sarah. But do to a last minute cancellation on Sarah's part, Jenna is left to fly solo for the evening. But she isn't solo for long when she meets the exotic and beautiful Selena. Jenna's straight laced, no nonsense world is turned upside down in one night with Selena. Being with Selena for one night will take Jenna to new heights and turn her in to a Dirty Little Devil",423
North from Rome,"Bill Lammiter, a young American playwright, has lost his girl and is on the point of leaving Rome. Then Lammiter saves a mysterious Italian girl from a beating and the fat is in the fire.
A kidnapping, a battle in a Renaissance villa, a shrewd gamekeeper, a chance snapshot and a touring preppy contribute to the excitement and suspense of this story, and also prove a testing ground for Lammiter and his sweetheart.",416
Poolside With Slim Aarons,"Slim Aarons offers images of jet-setters and the wealthy, and beautiful, glittering people living the glamorous life. However, the main character is the pool and everything that goes with them - magnificent suntanned bodies, well-oiled skin, bikini-clad women, yachts, summer cocktails, sumptuous buffets, and, above all, fun.",326
Creative Stress: A Path for Evolving Souls Living Through Personal and Planetary Upheaval,"Creative Stress reveals with precision how we can and must transmute negative stress so that we can evolve individually and collectively. It offers the reader a steady climb to the higher reaches of human creativity and fulfillment, and is packed with compelling stories from O'Dea's exceptionally rich experience.",314
Enchanted Glass,"When Andrew Hope's magician grandfather dies, he leaves his house and field-of-care to his grandson who spent much of his childhood at the house. Into this mix comes young Aidan Cain, who turns up from the orphanage asking for safety. Who he is and why he's there is unclear, but a strong connection between the two becomes apparent.",333
If the Red Slipper Fits...,"Like Cinders, gossip writer Sarah Griffin has lost a shoe But this is no glass slipper--it's an exclusive designer stiletto that could cost Sarah her job
Playboy CEO Caleb Lewis is no Prince Charming, but he does have Sarah's shoe. He offers the intriguing Sarah an ultimatum: in return for her precious shoe, she'll assist him with a commercial proposition--and this means getting up close and personal
Sarah learned long ago never to believe in fairy tales, but if the red slipper fits...",490
"The X Files: Season 10, Volume 2","As Scully and Mulder try to deal with the fallout from the actions of a mysterious group that has been targeting anyone associated with the X-Files and causing their return to the Bureau, reports that a creature from their past has returned sends Mulder heading to Martha's Vineyard and Scully to Quantico. Also, witness the return of the informant known only as ""X,"" the rise of the Chittering God, and ""More Musings of a Cigarette Smoking Man."" Collects issues #6-10.",469
In His Court,"Dale is a handsome, young and muscular NYPD cop. While out for his morning run, he rediscovers an old friend he'd had an unspoken crush on. Alvin is tall, dark, and strapping, and as they become reacquainted, Dale finds his friend equally attracted to him. Alvin takes Dale into the custody of his desires, and Dale learns he has the right to remain naked and be ravished.",372
The Last Good Knight Part II: Sore Spots,"The Last Good Knight: An Original Sinners novella told in five parts.
Part II: Sore Spots
With a potential stalker on the loose, Kingsley hires Lance as Nora's bodyguard, but stipulates no sex while he's on duty. Frustrated by the ex-SEAL's noble chivalry, Nora is driven to seek release with the one man she's trying to forget....",331
This is Madness: A Critical Look at Psychiatry and the Future of Mental Health Services,"A seminal book in the critical psychology movement in the UK, and still considered the text for critical studies in mental health. In an attempt to develop a more effective, respectful and humane mental health system, 23 contributors present a critical, strident, scholarly, personal, moving and ultimately hopeful critique of current psychiatric systems.",355
May the Faith Be With You: Bedtime Prayers,"A Mighty God
No comet moves as fast as God,
No star can blaze as bright.
No planet in the universe
Can match his awesome might.
God is the source of everything,
Creator of us all.
He made and blessed this whole wide world,
All creatures great and small.
May the Faith Be With You: Bedtime Prayersis filled with colorful, space-themed art and fifteen simple prayers for children to read with their parents at bedtime or anytime. This padded cover board book even glows in the dark!",480
"London in Chains: An English Civil War Novel (English Civil War, #1)","An English Civil War novel from a highly-acclaimed author - London, 1647. Lucy Wentor, a young lady who was attacked by soldiers during the civil war, and then rejected by her sweetheart, hopes to start her life afresh in the capital with her uncle and aunt. London, however, is in chaos and her once well-to-do uncle is now almost bankrupt. Unwilling to go home, Lucy finds a job in publishing and excitement, love and independence soon follow.",445
"Star Trek: Spock: Reflections (Star Trek Graphic Novel Collection, #4)","The year is 2387. A Vulcan on Romulus? Absurd! Or is it?
Leading up to the events of the 2009 Star Trek blockbuster film, this outstanding miniseries explores Spock's motivations as he abandons all he knows and goes to live with the Federation's sworn enemy, the Romulans.
Look back as Spock reflects on the events that brought him to this point in his life.",358
The Bluffer's Guide to Science: Bluff Your Way in Science,"In most areas of human endeavor, bluffing is an easy way of getting by -- a method of artificially appearing knowledgeable.The Bluffer's Guides are a three million-copy best-selling series of snappy little books containing facts, jargon, and inside information -- all that readers need to know to hold their own among the experts.",330
The U-Boat Hunters,"Excerpt from The U-Boat Hunters But men are not cast in that mould. We shall continue to have Wars; and some day the world is going to have a war to which the present Will serve only as a try-out.
When that war comes our country will prob ably have to bear the burden for the western hemisphere. In that war our navy will be our first line of defense; and what we do for our navy now will have much to do with what our navy will be able to do for us then.",455
Blessings and Inclemencies: Poems,"Wrested from the coppery, keen claws of existential extremity, Blessings and Inclemencies, Constance Merritt's second collection of poems, is conventional in its forms and radical in its reaching back to the ground of being and to the originality and immediacy of our first encounters with language. Forgoing the common hedge of irony, these poems, without apology, place their bets on elemental language, intentional grace, and tradition in all its fruitfulness and freight.",475
Angel in Cowboy Boots,"Adam might be a cowboy, the man of Kelly Porter's dreams, or an angel who's up to his eyeballs in Heavenly trouble. With the Heavenly clock ticking, Kelly has to find out and Adam has to stop her from ending her own life and prove to his bosses that he can help her find a man who will set her on the right track again.
ANGEL IN COWBOY BOOTS is a 63,000-word fable of desperation, hope, and love.",396
Conquering Love,"Spencer has always been the quiet type. His parents split up years ago and he hasn't seen his father since, so when his mother gets married for the second time he doesn't like the idea. Her new husband moves in as well as his son Ashton. But what happens when Spencer's father shows up and Spencer starts liking his new step-brother Ashton who is straight, a man whore, and is a complete asshole to him?",403
Ten Grouchy Groundhogs,"In this alliterative countdown book, ten groundhogs cannot wait for winter to end so they can get out of their den!
Ten grouchy groundhogs
Crowded in their den,
They squirmed and they stretched
And then...then...then...
TEN GROUCHY GROUNDHOGS is a hilarious countdown story about a den of grouchy, grubby, gobbling, gabby, giggly, groovy, graceful, glitzy, gleeful, groggy groundhogs getting ready for their great big day.",422
The Ol' Chef's Favorite Recipes,"It's back! The Ol' Chef's Favorite Recipes. This collection, reprinted here courtesy of The Ol' Chef, features his most inspired recipes and includes favorites such as fish chowder and Chicken Wings Chaiko, but also a bevy of delectable desserts, from apple dumplings to carrot cake, and even a pecan pie made with maple syrup.",327
Her French Connection (Game of Love #1),"Jade Spencer is a hard-working waitress determined to change her luck. All she wants is a better life and she's willing to roll up her sleeves to get it.
Hot-shot CEO Amere Montgomery is mesmerized when he sees Jade at the train station. The billionaire decides to pursue the beautiful black woman. When he gets shut down by Jade, he's not only taken aback, he's turned on. Amere's determined to win over the rare woman not impressed by his money.
Will Jade be able to resist his charm?",486
Saqiyuq,"A grandmother, daughter, and granddaughter take us on a remarkable journey in which the cycles of life - childhood, adolescence, marriage, birthing and child rearing - are presented against the contrasting experiences of three successive generations. Their memories and reflections give us poignant insight into the history of the people of the new territory of Nunavut.",370
"Saver, Volume 6","When Ley and crew are captured by a bandit--who looks like Hyun-Min--they are taken to a town that's surprisingly peaceful. Ley learns more about the bandit, who could possibly be her long-lost love from another time and place. However, peaceful days do not last as Yuriel leads his army to attack the town in his usual cruel fashion, killing men, women and even the children. Will Ley finally come face-to-face with the man who robbed her of people she loved?",460
Fossils: A Guide to Prehistoric Life,"LC# 62-21640
This introduction to the life of the past as revealed through fossils includes:Descriptions of the typical plants and animals of major geological erasMaps showing where fossils can be foundThe history of the development of life on earthFull-color illustrations and concise information make this an invaluable and enjoyable guide to a fascinating subject.",367
Did You Say Ghosts?,"It's time for bed, and a parent teasingly reassures a fearful child that there are no such things as ghosts. Anyway, even if there were, werewolves would scare them away. Now the child wonders what will keep the werewolves away. . . . Eerie, full-color illustrations conjure up ghosts, werewolves, witches, vampires, and other monsters.",336
"The Long Trail (The McCabes, #1)","The story of a family building a ranch in the rugged wilderness of post Civil War Montana, and of a young man seeking his family and his destiny. If you liked the movie OPEN RANGE or the TV shows BIG VALLEY and LANCER, or the novels of Louis L'Amour and Ralph Compton, then this might be for you. By the author of TREMAIN.",322
The Collected Stories of Richard Yates,"Richard Yates was acclaimed as one of the most powerful, compassionate and accomplished writers of America's post-war generation. Whether addressing the smothered desire of suburban housewives, the white-collar despair of Manhattan office workers or the heartbreak of a single mother with artistic pretensions, Yates ruthlessly examines the hopes and disappointments of ordinary people with empathy and humour.",410
Diving Off the Edge (Impact Books),"Riley and Blake have been best friends forever, even though Blake is a daredevil and teases Riley. That all ends when Blake finds a new group of friends. Riley joins the swim team, and soon finds he doesn't need Blake's friendship to get by. But when Blake tries a crazy stunt and dangerous at the lake one day, can Riley put the past aside and save his former friend?",368
Tweeting Love Birds Vol. 2,"Tweetie is the prize in a game that plays for keeps! The only rule? No hanky-panky until after Tweetie is won!
News of the competition has traveled back to Tweetie's dad, and he wants to know Ohtaka's intentions toward his son! But Ohtaka hasn't even told Tweetie how he feels!
Who will win Tweetie -- Shiratori or Ohtaka?! The tension mounts in TWEETING LOVE BIRDS volume two!
Localized by Boys Love Bang Bang
Translated by Anne Whittingham
Edited by Kimberly Lammens
Lettered by Alexandra Gunawan",498
"Bastille vs. the Evil Librarians: The Worldspire (Alcatraz, #6)","This takes place after the main five books in the series.
""I'm tentatively calling it AlcatrazBastille vs. the Evil Librarians: The Worldspire. (Yes, Alcatraz's name will likely be crossed out on the cover, with hers written over it.) Originally I'd named it Alcatraz vs. His Own Dumb Self, but I think that might be going too far.""- Sanderson",343
"Three Books: Body Rags; Mortal Acts, Mortal Words; The Past","This volume brings together BODY RAGS and MORTAL ACTS, MORTAL WORDS and THE PAST, three books that are central to the life's work of one of the masters of contemporary poetry. Included here are many of Galway Kinnell's best-loved and most anthologized poems. Kinnell has revised some of the poems for this new edition, and comments on his working method in a prefatory note.",374
Gardens of the Sun (The Quiet War #2),"After the Quiet War between Earth and the Outer System, the allies from Earth struggle to maintain peace, Outer refugees who fled from the moons of Jupiter and Saturn to Uranus and Neptune struggle to survive and to define themselves, and on Earth, in Brazil, there's growing unrest against the tyranny of powerful families.",324
Old-Fashioned Homemade Ice Cream: With 58 Original Recipes,"This informative, enthusiastic guide provides complete instructions and helpful advice for making delicious homemade ice cream, either in a hand-cranked or electric freezer. Includes 58 exotic, mouthwatering ice cream recipes, plus recipes for toppings, sauces, more. Introduction. Illustrated throughout.",305
Investing with Your Values: Making Money and Making a Difference,Investing With Your Values presents compelling evidence that values-inclusive investors can actually outperform the market and be a force for social change. The book's central concept of Natural Investing is a visionary practice that enables people across the entire philosophic and economic spectrum to identify their values and bring them into the financial arena.,366
Veiled Eyes,Anna St. Thais has always wondered who she was; an orphan or abandoned child. As she travels to New Orleans she quickly realizes that the dreams she's had of a strangely attractive man are very real and that he has a strong psychic connection to her. She finds the the enigmatic Lake People and there she will unravel the mystery that is her life.,347
North-West of Sixteen,"Jim MacGregor was a boy when he arrived with his parents in the Edmonton district in 1906, to take up a quarter-section homestead with the legal description North-West of Sixteen. The family's attempts to tame the wilderness, both successful and unsuccessful, are described in this first-person memoir.",302
"Lost and Found (Bluford High, #1)","Darcy Wills is in big trouble. And she does not know where to turn for help. First there was the mysterious stranger who started following her. Then there was the threatening note left on her desk at Bluford High School. And now her sister has disappeared. Forced into a desperate race against time, Darcy must take action to save her sister--and her fragile family--before it is too late.",389
Navy Seals: Elite Operations,"Trained to fight at sea, in the air, and on land, U.S. Navy SEALs tackle whatever missions come their way. They must master skills such as combatting enemies under water, fast-roping from a hovering helicopter, and demolishing enemy weaponry. Learn how Navy SEALs are taught to think like scientists and perform like soldiers as they track down terrorists, rescue hostages, and venture into enemy territory to gather critical information.",438
Pheasant Hunting,"Flushing dogs are popular companions during a pheasant hunt. When a bird is within range, the dog forces it to take flight so the hunter can make a shot. The dog then retrieves the catch and delivers it to the hunter. Learn more about pheasant hunting tactics and equipment in this book for young readers.",305
Stripping Asjiah,"I wish someone could've told me by seventeen I would get raped by my uncle. That no one would believe me. Maybe then I could've prepared myself. No one was there to protect me. Instead I was thrown to the wolves. I had to find a way out, to escape all this madness. Before you judge me, what would you have done if you were in my position?",339
The Hunger of Empty Vessels,"Christopher Portobello has always blamed himself for every trouble in his son's tortured life. But after he discovers a mysterious stranger watching every mistep Joey makes, Portobello begins to wonder whether there's another, darker reason for the minefield of their lives.
All of their misery might be the fault of someone else ... something else ... something ... hungry.",374
Judge Dredd: MegaCity Masters 02,"Some of comics' greatest writers take on the iconic Judge Dredd in this amazing collection.
2000 AD is Britain's most celebrated sci-fi comic anthology, which has been at the cutting edge of contemporary pop culture since 1977. The longest running strip in 2000 AD is Judge Dredd and over the years many internationally renowned writers have contributed some amazing stories to the Dredd legacy. This compilation features some of these stories collected together for the first time.",482
Otherwise Engaged (unabridged audiobook),"Funny, charismatic, and one heck of a temptation, Preston Seaholm made a wickedly sexy hero as he rescued Molly Cassidy from tumbling off the roof. The pretty widow bewitched him with a smile, unaware the tanned sun god was Sunrise Key's mysterious tycoon -- and one of the most eligible bachelors in the country. He needed help fending off unwanted advances, but once he convinced her to play along at pretending they were engaged, would he discover the pleasures of surrendering to her temptation?",499
"The Sorcerer's Confession (The Sorcerer, #1)","Charles Sutton, ghost, has been and can be anything he wants. Think of a crime; he's done it. Imagine sexual laisons beyond your wildest dreams; he's had them. In a globe hopping odyssey from the French Revolution to the present, he is plagued by madness, murdered, hated, loved, lost and finally, redeemed. He is the villain we love to forgive.",345
Who Killed Bob?,"Bob is dead. He appears to have died in his study, alone and with the doors locked. On his desk are a pen and a photograph of his family. These items are usually there.
What are not usually there are the ice pick, claw hammer, kitchen knife and bottle of prussic acid which have been arranged on his desk. A lot of questions need to be answered, the main one is Who Killed Bob?",377
Understanding Baptism,"What's the big deal about baptism?Jesus commands his disciples to be baptized, and it's a glorious picture of a person's union with Jesus' death, burial, and resurrection. Still, many Christians feel unclear about the topic, having more questions than answers. This short work provides a biblical explanation of baptism. What is it? Who should be baptized? Why is it required for church membership? And how should churches practice baptism?",440
Rubyfruit Jungle,"WITH AN INTRODUCTION BY RITA MAE BROWN
Molly Bolt is a young lady with a big character. Beautiful, funny and bright, Molly figures out at a young age that she will have to be tough to stay true to herself in 1950s America. In her dealings with boyfriends and girlfriends, in the rocky relationship with her mother and in her determination to pursue her career, she will fight for her right to happiness. Charming, proud and inspiring, Molly is the girl who refuses to be put in a box.",484
"Here They Lie (The Bloodstone Legacy, #1)","One town.
Three families.
A secret that refuses to stay buried.
Now the deadly legacy passes to a new generation.
After her aunt's untimely death, Reese Everett is summoned to Devil's Vale, Georgia. Colton Waters is returning home for an entirely different reason. Their lives soon become entangled as a generations-old secret comes to light.
Winner of the 2014 YARWA Rosemary Award for Excellence in New Adult Fiction",418
Le Corbusier: Architect Of A New Age,"One of the most influential architects of the 20th century, Le Corbusier, has shaped the world in which we live - from his experiments in communal living to his extraordinary churches, such as the Ronchamp chapel, and luxury houses for rich patrons. This book celebrates his vision of architecture as an expression of the human spirit, as inspiring as painting, music and poetry.",379
Dublin: The Deposed Capital; A Social and Economic History 1860-1914: A Social and Economic History 1860-1914,This is a comprehensive study of the problems which the city of Dublin faced between the famine and World War One. The decline of the city's traditional industries and the rising proportion of casual labourers in the population gave rise to intense poverty which resulted in excessively high death-rates and a housing crisis,324
"A Magical Beginning (The Owls of Blossom Wood, #1)","An exciting new animal series set in the magical Blossom Wood. When Katie, Eva and Alex hide inside a hollow tree trunk, they find themselves taken to a magical wood where they're no longer girls ... they're owls! Can the three best friends help the animals of Blossom Wood save the precious Moon Chestnut tree? Join the Owls of Blossom Wood on their first adventure!",367
Getting to Yes,"""I have faith. Adam is the man God picked for me, I just know it. And I just know that when Adam finally pops the question, we'll get married and live happily ever after. I say ""when"" because I'm an optimist. And because I believe that God is a mighty God -- even mightier than Adam's paralyzing fear of commitment!""
--Copyright (c) 2006 by Harlequin Books S.A.",361
None Of My Affair,"Jay and Frank's marriage works perfectly. So long as he shows up and she gets to show off - Frank can do what he wants. Carrie, married to adulterer Don, is tired of living a lie and vows that it's finally over. Then Ali, their daughter, tells of her plans for the wedding of the decade and Carrie's thoughts of escape are put on hold.",335
Climate & Food Security,"Title: Climate and Food Security: Papers Presented at the International Symposium on Climate Variability and Food Security in Developing Countries, 5-9 February 1987, New Delhi, India
Contributors: American Association for the Advancement of Science, Indian National Science Academy, International Rice Research Institute, Indian Council of Agricultural Research",362
"Eensy-Weensy Monster 2 (Eensy Weensy Monster, #2)","They've made it past getting on each other's nerves, and Hazuki and Nanoha are finally friends. But the more time he spends with Nanoha, the more Hazuki discovers a new side to himself--could this be leading to love?! Too bad Nanoha doesn't have a clue. It's beyond her to figure out why Hazuki is suddenly so distant... Will Nanoha's little internal monster reappear to save the day, or is Nanoha's dark side going to ruin their relationship forever?",451
The Traitor,"THE RENDITION
An Italian Muslim has been snatched by the CIA. His crime: a plot to engulf Venice in flames.
THE GOSSIP
Carnivia is awash with rumour and speculation. Have the CIA extradited an innocent man?
THE EVIDENCE
Holly and Kat must find the powerful men who truly run Italy. But time is running out to save their city.
THE ATROCITY will destroy it all.",359
Harry Potter and the Goblet of Fire Movie Poster Book,"Here it is -- the official behind-the-scenes poster book of Harry Potter and the Goblet of Fire!It's packed with stats, facts, and insider info. Plus over 40 pictures of Harry, Ron, Hermione, Cho Chang, Cedric Diggory, Viktor Krum, Fleur Delacour, and all the other kids from Hogwarts, Durmstrang, and Beauxbatons. It's your must-have movie keepsake.",350
Passenger Trains,"Even with the convenience of airplanes and the economy of buses, there is just something enduringly charming about riding the rails. Thousands of passengers are carried to their destinations everyday by passenger trains. Full-color photographs and appealing, simple text will make readers feel like they are along for the ride.",327
"Clarity (The Seductors, #3.5)","When you find a love worth fighting for, nothing can stand in your way.
Jade Phillips is that love for me, and I'd follow her to the end. I'll stop at nothing to make her happy, including doing everything in my power to make her mine for eternity.
She is my clarity.
You've read Jade's side of the story, now Oliver gets his turn...",332
"Bonjour Alice (Alice & Megan, #5)","Ancient castles, yummy French food and deep, dark forests - sounds like the perfect holiday! Megan's really looking forward to the summer holidays - her whole family is going to France, and best of all Alice is coming too! But when Alice tries to make friends with a local French boy things begin to get very interesting... Another adventure with Alice and Megan - the fifth book in the bestselling series popular with young girls everywhere.",442
Colouring Book,"This stylish colouring book containing unpublished designs takes you on a journey through the marvellous, creative and revolutionary mind of Yves Saint Laurent. We are given a glimpse of his inspirations, from art and entertainment to countries and culture, alongside his unseen sketches. This is a unique couture colouring book, and is the perfect accessory for the fashion conscious.",385
Swamp Things,"What happens when pond creatures are put in a jar, and get to tell their side of the adventure? Swamp Things is for every girl and boy with the curiosity of an explorer, and subtly weaves in the moral that living things are happiest in their own space. An original poetic writing style by Ronald L Morris, and magical illustrations by renown artist Chris Beatrice.",364
"The Sweetest Revenge (Pregnancy Affair, #2)","When Zane Cordon finds out that his wife of ten years have not only been cheating on him but that she had also gotten rid of his unborn children along the way he's out for revenge. His mind becomes consumed with the best way of getting back at her as he sees his chances at fatherhood slipping away.
Then one day he meets the young hot Elena Patriakis and things take a different turn as everything he thought now out of his reach was suddenly right there at his fingertips.",474
Genesis Unveiled: The Lost Wisdom of our Forgotten Ancestors,"Our oldest texts and religious writings - from the Bible to the Vedic scripts - all speak of a golden race dwelling in utopian bliss before losing their way and suffering annihilation in a worldwide catastrophe. In a reappraisal of the sacred texts of antiquity, Ian Lawton uncovers what he believes is the key to deciphering the true origins of our antediluvian ancestors.",373
Gigs,"Blues in D minor, big bellies over factory belts, and Elvis Presley license plates--Gigs is a collection of poems that shows us the gentle beauty of ordinary life. Davis's language breathes, without labor. His metaphors fit tight. And the rhythm of each word keeps pace with our innermost beats. Absolutely every poem in this book hammers a rightly strung cord.",361
"The Magic Spell and Dreams Come True (My Secret Unicorn, #1-2)","Imagine sitting on the back of a snow-white unicorn. Imagine riding it high into the sky, the wind in your hair. Imagine owning it, loving and cherishing it forever. This dream comes true for Lauren Foster. By day she rides Twilight, an ordinary little pony, but as night draws in and Lauren recites a secret spell, Twilight becomes a unicorn.",343
Clive Barker's Hellraiser: The Dark Watch Vol. 3,"The netherworld has a new ruler, but chaos still reigns as the war in Hell rages on!
Kirsty Cotton, Elliott Spencer, and Harry D&#8217;Amour have all played multiple roles in the battles between Heaven and Hell -- but now, each plays a part in the war within Hell, and even Leviathan doesn&#8217;t know their fates. Clive Barker, Brandon Seifert, and Tom Garcia bring this epic tale in the HELLRAISER saga to a shocking climax.",427
"Negima!: Magister Negi Magi, Volume 6","The chaotic class trip continues as Negi Springfield and his thirty-one beautiful female students explore the historic cities of Kyoto and Nara. Negi's special headache is Konoka, the headmaster's granddaughter, who turns out to have her own magical abilities! Although she's not aware of them, others certainly are . . . and Konoka is kidnapped by a group of wizards who plan to corrupt her budding talents. Negi is going to need all the help he can get-even if it comes from a former foe. . . .",496
The New Testament: The Epistle to the Ephesians,"British Narrator Simon Peterson reads The Epistle to the Ephesians in this wonderful audiobook collection of The New Testament. As a well-known Christian Broadcaster, Simon has the ideal voice for those of all ages who want to listen to The Bible in full, unabridged form. His emotive reading perfectly captures the beauty and power of God's Word and makes the King James English clear and easy to understand.",409
How to Marry a Duke (How To #1),"In Vicky Dreiling's enchanting Regency romance debut, Tristan - the rakish duke of Shelbourne - wants to marry and sire an heir. To help him choose among the dizzying array of wealthy but witless candidates, he secures the services of prim and proper matchmaker Miss Tessa Mansfield. But as Tessa seeks the perfect mate, the duke finds himself distracted by Tessa's considerable charms.",386
Training Jeri,"Jeri, a BBW is introduced into BDSM by her boyfriend, Jake. They both have emotional baggage that threatens to kill the budding romance. The twists and turns they encounter to make the relationship work, along with the challenges their family and friends bring, makes this a hot read with explicit sex scenes.",309
The Last Days According to Jesus: When Did Jesus Say He Would Return?,"Speculation and theories abound about what the last days have in store for us. But what did Jesus believe and teach about the end times and the timing of his return? R. C. Sproul points believers back to the words of Christ, offering them a solid footing amid ever-shifting opinion about the age to come.",304
Bayou Jesus,"Elderly Zassy, mother of Bayou Jesus, reveals the story of her son Frank's spiritual journey which begins on the day the two of them are taken to serve at the Boudreaux family's Bellwether plantation. Frank begins a mythical journey into the bayou to find himself and God and gathers followers and an imposing disciple along the way.",333
"Engine Nine, Feelin' Fine!","Donny doesn't want to play with his favorite toy fire engine, Lenny, anymore. So it's up to Doc to figure out what's wrong. Turns out, Lenny ran out of water for his fire engine hose, and once Doc refills him, he's as good as new! The gang learns a lesson about dehydration and the importance of drinking plenty of water, especially on hot days.",345
In Love With Elenor Rigby,"A romantic comedy set in the urban South. Joe is a carpenter; Tabitha a milliner. When they first meet, they fall head-over-heels in love with one another. But Joe has a dark past and attends AA twice each week. He is afraid to let down the most beautiful woman he's ever known by revealing his weaknesses. And so he keeps it from her. And keeps it from her. Until one day, she finds out. A story of honesty and love at war with insecurity and the fear of loneliness.",467
Zombie Apocalypse! Acapulcalypse Now!,"A mysterious multi-millionaire invites a collection of rich and powerful men and women from around the world to his exclusive hotel on the cost of Acapulco. As they leave Heathrow airport, the events at All Hallows Church, which sparked the zombie plague, break out. Now the guests must battle each other, the resentful locals, the impending horde of undead, and the land itself. A spin-off novel of the bestselling Zombie Apocalypse!series.",441
Final Solution: The Fate of the Jews 1933-1949,"David Cesarani, OBE is Research Professor in History at Royal Holloway, Univ. of London and the award-winning author of Becoming Eichmannand Major Farran's Hat. He was awarded the OBE for services to Holocaust Education and advising the British government on the establishment of Holocaust Memorial Day. He lives in England.",324
The Paris Mapguide,"This ultimate guide shows travelers how, where, and what to see and do in Paris, offering pages of colorful and informative maps that are easy to read and convenient to handle--no folding necessary. The detailed maps direct you to the best Paris has to offer, from art galleries, museums, cafes, and theaters to public transportation, parks, and tourist information centers.",374
To Be Read in the Dark,"To Be Read in the Dark casts its strobe of radical vision on the dark crises of our common experience. Personal and prophetic, these compressed lyrics are capacious in meaning. Here is a penetrating appraisal of the underlying politics and philosophical disposition of our daily struggles, both formally relentless and epic in scope. These are poems you will want to read aloud, letting this language spotlight a navigable course into and through the dark.",456
The Foundations of Mathematics,"Finally there's an easy-to-follow book that will help readers succeed in the art of proving theorems. Sibley not only conveys the spirit of mathematics but also uncovers the skills required to succeed. Key definitions are introduced while readers are encouraged to develop an intuition about these concepts and practice using them in problems. With this approach, they'll gain a strong understanding of the mathematical language as they discover how to apply it in order to find proofs.",486
A Lesson and a Favor (Blessed Epoch # .5),"Eight years before meeting Yarrow and Duncan in Ash and Echoes, the man now known as Sasha lived and breathed for a single purpose: to kill for gold and the glory of his cult and dark god without emotion or hesitation. In this lost tale of Sasha's early career, he's dispatched on a difficult mission--one with a surprise in store for him.",339
His Secret Life: Male Sexual Fantasies,"Shocking, fun, and illuminating all at once, this book dares to break the silence as men across the nation share their uncensored fantasies and innermost wants without reservation. Challenging myths about men and sexuality, over seventy fantasies from over 500 men provide reassurance to men that they are not alone -- and offer unique insight to women as to what really makes men tick!",386
The Four Seasons of Lancaster County: Volume 1,"This book is a visual delight of the author's wonderful photographs and personal stories that give the reader a privileged peek into the world of the Amish in Lancaster Co., Pa. Living in the quaint town of Churchtown with Amish neighbors, he is afforded countless opportunities to capture the spirit of God's country, its people and animals with his camera. By looking at the vivid pictures and reading the stories, you can easily envision yourself in the scenes of the four seasons.",484
Passport to Narnia: A Newcomer's Guide,"Passport to Narnia is a beginners guide to C.S. Lewis' classic Chronicles of Narnia offering a book-by-book synopsis of the series, and an in-depth look at the forthcoming movie series. Passport to Narnia also includes a biography of Lewis, along with interviews, photos, a guide to C. S. Lewis' England and more--Provided by publisher.",336
"Beast Keeper (Beasts of Olympus, #1)","Beasts of Olympus is a series of 144-page illustrated chapter books set in a magical Ancient Greece where strange things still walk the Earth. Beast Keeper tells the story of Pandemonius (a.k.a. ""Demon,"" the half-god son of Pan) who, on his tenth birthday, is called upon to look after all the mythical creatures that belong to the stables of Olympus.",351
The Glory of Their Times: The Story of the Early Days of Baseball Told By the Men Who Played It,"From the Preface:
This new enlarged edition of The Glory of Their Times contains the complete text and all the photographs that were in the original book, published in 1966, plus for the first time the first-person stories of four additional major-league players - George Gibson, Babe Herman, Specs Toporcer, and Hall of Famer Hank Greenberg.",342
The Primrose Way,"Living in a rough Puritan missionary settlement that borders an Indian village, sixteen-year-old Rebekah is forced to choose between two cultures when she falls in love with a defiant Pawtucket medicine man. ""Issues about separation of church and state, the scandalous idea of thinking for oneself, etc., are thoughtfully raised here and would provide provocative discussions in the social studies classroom.""--School Library Journal",433
Cordwood Masonry Houses: A Practical Guide for the Owner-Builder,"It is still possible to design, build and live in your ""dream house""... and for less money than you thought possible! All you need is desire, imagination, a minimal financial investment, and a knowledge of cordwood masonry - an age old method of construction in which very short logs are laid up in a wall like firewood with a mortar fill between them.",352
Betrayal of the Planet of the Apes,"With BETRAYAL OF THE PLANET OF THE APES, writer/artist Gabriel Hardman (HULK, AGENTS OF ATLAS) and writer Corinna Sara Bechko (HEATHENTOWN, FEAR ITSELF: THE HOME FRONT) take you right into the continuity of the original seminal fan-favorite film, as the feared and respected General Aleron finds himself at the center of a conspiracy that could transform ape/human relations! Aleron's journey puts him face to face with...Dr. Zaius! A not-to-be-missed stand-alone graphic novel.",478
